date,city,houseType,status,numberRooms,numberBathrooms,numberKitchens,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,price
2020-02-09,RB,apartment,B,1,1,1,0,1,1,0,140.0,0,1,0,900
2020-02-09,RB,apartment,B,1,1,1,1,0,1,0,100.0,0,1,0,1000
2020-02-09,N,apartment,A,4,2,1,3,1,1,0,170.0,0,1,0,2500
2020-02-09,RB,apartment,A,3,2,1,1,1,1,0,140.0,0,0,1,600
2020-02-09,RB,apartment,A,3,3,1,2,1,1,1,175.0,0,0,1,800
2020-02-09,B,apartment,A,3,2,1,1,1,1,0,148.0,0,1,0,2500
2020-02-09,RB,apartment,B,2,2,1,1,1,1,0,122.0,0,0,1,500
2020-02-09,T,apartment,B,2,1,1,0,0,0,0,100.0,0,1,0,1000
2020-02-09,RB,apartment,A,2,3,1,1,1,1,1,170.0,0,0,1,1100
2020-02-09,RB,apartment,B,2,2,1,1,1,1,0,140.0,0,1,0,1500
2020-02-09,RB,apartment,A,3,3,1,1,1,1,1,170.0,0,0,1,1100
2020-02-09,RB,apartment,B,2,2,1,1,0,0,0,110.0,0,0,1,400
2020-02-09,RB,apartment,B,1,1,1,0,1,1,0,140.0,0,0,1,350
2020-02-09,RB,apartment,B,3,3,1,3,0,1,0,200.0,0,1,0,1300
2020-02-10,N,apartment,C,1,1,1,1,0,1,0,80.0,1,0,0,1500
2020-02-11,JN,apartment,A,1,1,1,1,1,1,0,140.0,0,1,0,1000
2020-02-10,RB,apartment,B,2,1,1,1,1,1,0,88.0,0,1,0,1200
2020-02-10,RB,apartment,B,2,1,1,1,0,0,0,140.0,0,1,0,1300
2020-02-10,T,apartment,B,3,1,1,0,0,0,0,140.0,0,1,0,850
2020-02-10,RB,apartment,A,3,3,1,2,1,1,1,140.0,0,0,1,850
2020-02-10,RB,apartment,A,2,1,1,1,1,1,1,100.0,0,0,1,650
2020-02-10,RB,apartment,B,3,2,1,1,1,1,0,160.0,0,0,1,600
2020-02-10,RB,apartment,A,2,2,1,1,1,1,0,120.0,0,0,1,600
2020-02-10,RB,apartment,B,1,1,1,0,1,1,0,45.0,0,0,1,340
2020-02-10,RB,apartment,B,3,2,1,1,1,1,1,170.0,0,0,1,500
2020-02-10,RB,apartment,A,2,1,1,1,1,1,0,118.0,0,0,1,600
2020-02-10,RB,apartment,A,1,1,1,1,1,1,0,140.0,0,0,1,550
2020-02-10,RB,apartment,A,3,2,1,1,1,1,0,140.0,0,0,1,700
2020-02-10,RB,apartment,D,3,1,1,1,0,0,0,140.0,0,1,0,300
2020-02-11,RB,apartment,A,2,3,1,0,1,1,0,140.0,0,1,0,1900
2020-02-11,RB,apartment,B,3,3,1,1,1,1,0,155.0,0,0,1,500
2020-02-16,RB,apartment,B,1,2,1,0,0,0,0,140.0,0,1,0,1100
2020-04-27,RB,apartment,A,3,2,1,2,0,1,0,145.0,0,0,1,800
2020-02-11,RB,apartment,B,3,3,1,1,0,1,0,140.0,0,0,1,1000
2020-02-11,RB,apartment,B,3,2,1,2,0,1,0,180.0,0,1,0,1500
2020-02-11,RB,apartment,A,1,1,1,1,0,0,0,60.0,0,0,1,300
2020-02-11,RB,apartment,B,2,1,1,1,0,0,0,100.0,0,1,0,700
2020-02-15,RB,apartment,A,3,2,1,1,1,1,0,135.0,0,0,1,600
2020-02-11,RB,apartment,A,3,3,1,1,1,1,1,165.0,0,0,1,700
2020-02-11,RB,apartment,A,3,3,1,1,1,1,0,140.0,0,0,1,500
2020-02-11,RB,apartment,A,1,1,1,1,0,0,0,140.0,0,0,1,450
2020-02-11,RB,apartment,B,2,2,1,2,0,1,1,140.0,0,0,1,500
2020-02-11,RB,apartment,A,3,2,1,1,1,1,0,140.0,0,0,1,550
2020-02-11,RB,apartment,B,3,2,1,5,0,1,1,220.0,0,0,1,600
2020-02-11,RB,apartment,A,4,2,1,1,0,1,1,155.0,0,0,1,700
2020-02-16,RB,apartment,A,1,2,1,1,0,1,0,16.0,0,1,0,550
2020-02-11,RB,apartment,B,3,2,1,1,1,1,0,138.0,0,0,1,500
2020-02-11,RB,apartment,B,3,2,1,1,1,1,0,140.0,0,1,0,1500
2020-02-11,RB,apartment,B,3,3,1,1,1,1,1,160.0,0,0,1,600
2020-02-11,RB,apartment,B,3,2,1,1,1,1,0,160.0,0,0,1,550
2020-02-11,RB,apartment,A,3,2,1,1,1,1,0,160.0,0,0,1,600
2020-02-11,RB,apartment,A,3,3,1,1,1,1,0,1.0,0,0,1,700
2020-02-11,RB,apartment,A,2,3,1,1,1,1,0,1.0,0,0,1,700
2020-02-11,RB,apartment,A,1,1,1,0,1,1,0,140.0,0,1,0,1200
2020-02-12,T,apartment,A,1,1,1,0,0,0,0,140.0,0,1,0,1100
2020-02-12,RB,apartment,B,3,1,1,0,0,0,0,120.0,0,0,1,450
2020-02-12,RB,apartment,B,2,1,1,1,0,0,0,140.0,0,1,0,1200
2020-02-12,T,apartment,B,4,3,1,1,1,0,0,135.0,0,1,0,1250
2020-02-12,JR,apartment,B,3,3,2,3,0,0,0,150.0,0,1,0,1300
2020-02-12,N,apartment,B,2,1,1,1,0,0,0,120.0,0,1,0,1000
2020-02-12,RB,apartment,A,1,1,1,0,1,0,0,140.0,0,0,1,500
2020-02-12,RB,apartment,B,3,3,1,0,1,1,0,140.0,0,0,1,500
2020-02-12,RB,apartment,B,3,3,1,1,1,1,1,170.0,0,0,1,700
2020-02-12,RB,apartment,A,2,1,1,1,0,0,0,140.0,0,1,0,350
2020-02-12,RB,apartment,B,2,1,1,1,0,0,0,170.0,0,1,0,1800
2020-02-12,RB,apartment,A,3,3,1,1,1,1,1,150.0,0,0,1,600
2020-02-12,RB,apartment,A,1,1,1,1,1,1,1,85.0,0,0,1,500
2020-02-12,RB,apartment,B,3,2,1,5,0,1,1,220.0,0,0,1,600
2020-02-12,RB,apartment,B,5,2,1,1,1,1,0,170.0,0,0,1,600
2020-02-17,T,apartment,B,4,2,1,0,0,1,0,110.0,0,1,0,15000
2020-02-12,RB,apartment,A,3,2,1,1,1,1,0,150.0,0,1,0,2100
2020-02-12,RB,apartment,A,1,1,1,1,0,0,0,140.0,0,0,1,300
2020-02-12,RB,apartment,A,3,3,1,1,1,1,1,170.0,0,0,1,1150
