city,status,numberRooms,numberBathrooms,numberBalconies,houseSpace,elevator,carParking,heating,featurePlus,featurePlus2,Bldg_A,Bldg_B,MedstatusHouseSpace,city_encoded,priceUS
7,3,4,2,1,130.0,0,0,0,0.5,0.75,0,0,130.0,2222.9116461731846,253.8
1,2,2,2,2,130.0,0,0,0,1.0,2.0,0,2,130.0,1508.2965041390216,425.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,550.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,550.0
1,2,3,2,2,140.0,1,1,0,0.6666666666666666,1.3333333333333333,0,2,130.0,1508.2965041390216,500.0
1,4,3,4,2,165.0,0,0,0,1.3333333333333333,2.0,0,0,90.0,1508.2965041390216,450.0
1,2,3,2,1,127.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,550.0
1,1,3,2,1,0.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,3,3,1,0.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,650.0
1,2,3,2,1,150.0,0,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,450.0
1,2,3,3,0,150.0,1,1,1,1.0,1.0,0,0,130.0,1508.2965041390216,500.0
1,2,2,1,1,120.0,0,1,0,0.5,1.0,0,1,130.0,1508.2965041390216,480.0
1,2,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,450.0
1,1,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,700.0
1,2,3,3,1,140.0,1,1,0,1.0,1.3333333333333333,0,1,130.0,1508.2965041390216,550.0
1,2,3,1,1,130.0,0,0,0,0.3333333333333333,0.6666666666666666,0,1,130.0,1508.2965041390216,240.0
3,2,3,2,2,140.0,1,0,0,0.6666666666666666,1.3333333333333333,0,2,130.0,3107.09112274828,500.0
1,1,3,3,1,200.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,300.0
1,1,3,3,1,150.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,600.0
1,1,3,3,1,160.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,700.0
1,1,1,3,0,50.0,1,1,1,3.0,3.0,0,0,100.0,1508.2965041390216,550.0
1,2,2,3,1,0.0,1,1,1,1.5,2.0,0,1,130.0,1508.2965041390216,550.0
1,2,2,2,1,0.0,1,1,0,1.0,1.5,0,1,130.0,1508.2965041390216,450.0
1,2,3,2,1,0.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,3,2,1,165.0,0,0,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,1,3,3,1,180.0,0,0,1,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,700.0
1,2,2,1,0,0.0,0,0,0,0.5,0.5,0,0,130.0,1508.2965041390216,400.0
1,3,2,1,0,120.0,0,0,0,0.5,0.5,0,0,130.0,1508.2965041390216,300.0
2,3,3,2,1,100.0,0,1,0,0.6666666666666666,1.0,0,0,130.0,2809.5507241955816,240.0
1,1,3,2,1,160.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,600.0
1,2,3,2,1,162.0,1,1,0,0.6666666666666666,1.0,0,1,130.0,1508.2965041390216,500.0
1,1,3,3,1,165.0,1,1,0,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,600.0
1,1,1,1,1,80.0,1,1,0,1.0,2.0,1,0,100.0,1508.2965041390216,550.0
1,1,1,2,0,100.0,0,0,0,2.0,2.0,0,0,100.0,1508.2965041390216,500.0
1,1,3,3,1,160.0,1,1,1,1.0,1.3333333333333333,1,0,100.0,1508.2965041390216,600.0
1,1,3,2,1,140.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,700.0
1,1,1,1,0,0.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,400.0
1,2,2,1,0,0.0,1,1,0,0.5,0.5,0,0,130.0,1508.2965041390216,330.0
1,2,2,2,1,0.0,0,0,0,1.0,1.5,0,1,130.0,1508.2965041390216,400.0
1,1,3,2,1,123.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,690.0
4,1,3,2,0,0.0,0,0,0,0.6666666666666666,0.6666666666666666,0,0,100.0,3749.991715220519,480.0
3,2,3,2,1,150.0,0,0,0,0.6666666666666666,1.0,0,1,130.0,3107.09112274828,480.0
1,1,3,2,1,130.0,1,1,0,0.6666666666666666,1.0,1,0,100.0,1508.2965041390216,750.0
1,1,2,1,1,0.0,0,0,0,0.5,1.0,1,0,100.0,1508.2965041390216,350.0
1,1,2,1,1,80.0,1,1,0,0.5,1.0,1,0,100.0,1508.2965041390216,600.0
8,2,2,2,1,140.0,1,0,0,1.0,1.5,0,1,130.0,5872.647227876687,540.0
8,2,3,3,0,165.0,1,0,0,1.0,1.0,0,0,130.0,5872.647227876687,600.0
4,1,1,1,1,0.0,1,1,0,1.0,2.0,1,0,100.0,3749.991715220519,180.0
1,1,2,2,0,0.0,1,1,0,1.0,1.0,0,0,100.0,1508.2965041390216,600.0
3,1,1,2,0,25.0,1,1,1,2.0,2.0,0,0,100.0,3107.09112274828,300.0
1,1,2,2,1,110.0,1,1,1,1.0,1.5,1,0,100.0,1508.2965041390216,240.0
3,1,3,2,0,0.0,0,1,0,0.6666666666666666,0.6666666666666666,0,0,100.0,3107.09112274828,420.0
2,3,3,2,2,110.0,0,1,0,0.6666666666666666,1.3333333333333333,0,0,130.0,2809.5507241955816,300.0
1,2,1,1,1,80.0,0,1,0,1.0,2.0,0,1,130.0,1508.2965041390216,300.0
1,2,2,2,2,130.0,1,0,0,1.0,2.0,0,2,130.0,1508.2965041390216,330.0
