date,city,status,numberRooms,numberBathrooms,numberBalconies,elevator,carParking,heating,houseSpace,PriceType_JOD,PriceType_NIS,PriceType_USD,featurePlus,status_A,status_B,status_C,status_D,status_E,city_B,city_H,city_J,city_JN,city_JR,city_N,city_Q,city_RB,city_S,city_T,city_TB,MedstatusHouseSpace,city_encoded,price
2020-02-08,1,2,2,1,0,0,0,0,100.0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1000
2020-02-03,1,2,3,2,0,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-03,1,1,3,1,0,1,0,0,140.0,0,0,1,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-02-03,1,2,4,2,2,1,1,0,160.0,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1500
2020-02-03,1,2,2,2,1,1,1,0,140.0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1600
2020-02-08,1,1,3,2,2,1,1,1,170.0,0,0,1,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-03,1,1,3,3,2,1,1,1,170.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,700
2020-02-03,1,1,3,3,1,1,1,1,170.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,800
2020-02-03,1,1,2,3,1,1,1,1,170.0,0,0,1,1.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1000
2020-02-03,1,1,3,1,0,0,1,0,140.0,0,1,0,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-02-03,1,2,3,3,1,1,1,1,140.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-03,1,2,2,2,1,0,0,0,110.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,400
2020-02-04,1,2,3,3,1,1,1,1,140.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-03,1,2,3,2,1,1,1,0,140.0,0,1,0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1900
2020-02-05,1,1,2,1,1,1,1,0,140.0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,2000
2020-02-04,1,2,3,3,0,1,1,0,150.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-02-04,3,2,2,1,2,0,0,0,70.0,0,1,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,140.0,4419.044863120856,1200
2020-02-04,1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-08,1,1,1,2,0,1,1,1,140.0,0,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1600
2020-02-04,1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-04,1,2,2,2,2,0,0,0,130.0,0,0,1,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,450
2020-02-04,1,1,3,3,1,1,1,0,150.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,600
2020-02-19,2,3,3,1,1,1,1,0,120.0,0,1,0,0.3333333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,140.0,2954.5204006236395,1300
2020-02-04,4,1,3,2,2,1,1,0,140.0,1,0,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,3300
2020-02-04,1,1,3,3,2,1,1,0,180.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,800
2020-02-04,1,1,3,3,3,1,1,1,165.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,800
2020-02-05,4,1,3,2,1,0,0,0,140.0,0,1,0,0.6666666666666666,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140.0,5829.75481655339,600
2020-02-04,1,2,3,2,1,1,1,0,140.0,0,1,0,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,1900
2020-02-04,1,1,2,2,1,1,1,0,120.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-04,1,2,3,2,1,1,1,0,140.0,0,0,1,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,500
2020-02-04,1,1,3,3,1,1,1,1,160.0,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,140.0,2179.295502344721,800
